,city,idx,url
131,Lincoln,5362,http://aqicn.org/city/california/placer/lincoln-1445-1st-street/
132,Oakland,5363,http://aqicn.org/city/california/alameda/oakland-laney-college/
133,Pinehurst,5364,http://aqicn.org/city/california/fresno/pinehurst-forest-service/
134,Springville,5365,http://aqicn.org/city/california/tulare/springville-forest-service/
135,Rio Vista,5366,http://aqicn.org/city/california/solano/rio-vista-ys/
136,Sebastopol,6455,http://aqicn.org/city/california/sonoma/sebastopol-103-morris-street/
137,Otay Mesa,8592,http://aqicn.org/city/california/san-diego/otay-mesa-donovan-correctional-facility/
138,Corcoran,9605,http://aqicn.org/city/california/kings/corcoran-patterson-avenue/
139,Keeler,8349,http://aqicn.org/city/california/inyo/keeler-cerro-gordo-road/
140,Tahoe City,8350,http://aqicn.org/city/california/placer/tahoe-city-221-fairway-drive/
141,San Lorenzo,8351,http://aqicn.org/city/california/santa-cruz/san-lorenzo-valley-middle-school/
142,Auburn ,8352,http://aqicn.org/city/california/placer/auburn-atwood-rd/
143,Rio Vista,8353,http://aqicn.org/city/california/solano/rio-vista-st-francis-way/
144,Atascadero Lift,9060,http://aqicn.org/city/california/san-luis-obispo/atascadero-lift-station--5/
145,San Jose,8355,http://aqicn.org/city/california/santa-clara/san-jose-knox-avenue/
146,Red Bluff,8356,http://aqicn.org/city/california/tehama/red-bluff-walnut-st/
147,Bishop,8864,http://aqicn.org/city/california/inyo/bishop-line/
148,Long Beach,9606,http://aqicn.org/city/california/los-angeles/long-beach-route-710-near-road/
149,Ontario,9607,http://aqicn.org/city/california/san-bernardino/ontario-route-60-near-road/
150,Atascadero Lift,9060,http://aqicn.org/city/california/san-luis-obispo/atascadero-lift-station--5/
151,Berkeley,9061,http://aqicn.org/city/california/alameda/berkeley-aquatic-park/
152,Sebastopol,9062,http://aqicn.org/city/california/sonoma/sebastopol/
153,Lincoln ,9063,http://aqicn.org/city/california/placer/lincoln-1445-1st-st./
154,El Cajon,9608,http://aqicn.org/city/california/san-diego/el-cajon-lexington-elementary-school/
155,Mexicali,9609,http://aqicn.org/city/california/mexicali/mexicali-cobach/
156,Mexicali,9610,http://aqicn.org/city/california/mexicali/mexicali-uabc/
157,Newburgh,5104,http://aqicn.org/city/newyork/
158,Buffalo,5879,http://aqicn.org/city/buffalo/
159,New York,3307,http://aqicn.org/city/usa/newyork/
160,I S,5098,http://aqicn.org/city/usa/newyork/is-52/
161,White Plains,58,http://aqicn.org/city/usa/newyork/white-plains/
162,Suffolk County,5099,http://aqicn.org/city/usa/newyork/suffolk-county/
163,Queens College,6905,http://aqicn.org/city/usa/newyork/queens-college/
164,The City,59,http://aqicn.org/city/usa/newyork/ccny/
165,Intermediate School,60,http://aqicn.org/city/usa/newyork/is-74/
166,Public School,61,http://aqicn.org/city/usa/newyork/ps-314/
